SourceID,TargetID,Type
CTL1,CAT1,IS_IN_CATEGORY
CTL1,GRP1,IS_IN_GROUP
CTL1,TYP4,IS_OF_TYPE
CTL2,CAT1,IS_IN_CATEGORY
CTL2,GRP1,IS_IN_GROUP
CTL2,TYP1,IS_OF_TYPE
CTL3,CAT1,IS_IN_CATEGORY
CTL3,GRP1,IS_IN_GROUP
CTL3,TYP1,IS_OF_TYPE
CTL4,CAT1,IS_IN_CATEGORY
CTL4,GRP1,IS_IN_GROUP
CTL4,TYP4,IS_OF_TYPE
CTL5,CAT1,IS_IN_CATEGORY
CTL5,GRP1,IS_IN_GROUP
CTL5,TYP1,IS_OF_TYPE
CTL6,CAT1,IS_IN_CATEGORY
CTL6,GRP1,IS_IN_GROUP
CTL6,TYP1,IS_OF_TYPE
CTL7,CAT1,IS_IN_CATEGORY
CTL7,GRP2,IS_IN_GROUP
CTL7,TYP4,IS_OF_TYPE
CTL8,CAT1,IS_IN_CATEGORY
CTL8,GRP2,IS_IN_GROUP
CTL8,TYP1,IS_OF_TYPE
CTL9,CAT1,IS_IN_CATEGORY
CTL9,GRP2,IS_IN_GROUP
CTL9,TYP4,IS_OF_TYPE
CTL10,CAT1,IS_IN_CATEGORY
CTL10,GRP2,IS_IN_GROUP
CTL10,TYP2,IS_OF_TYPE
CTL10,TYP3,IS_OF_TYPE
CTL11,CAT1,IS_IN_CATEGORY
CTL11,GRP2,IS_IN_GROUP
CTL11,TYP2,IS_OF_TYPE
CTL12,CAT1,IS_IN_CATEGORY
CTL12,GRP2,IS_IN_GROUP
CTL12,TYP2,IS_OF_TYPE
CTL13,CAT1,IS_IN_CATEGORY
CTL13,GRP3,IS_IN_GROUP
CTL13,TYP4,IS_OF_TYPE
CTL14,CAT1,IS_IN_CATEGORY
CTL14,GRP3,IS_IN_GROUP
CTL14,TYP4,IS_OF_TYPE
CTL15,CAT1,IS_IN_CATEGORY
CTL15,GRP3,IS_IN_GROUP
CTL15,TYP3,IS_OF_TYPE
CTL16,CAT1,IS_IN_CATEGORY
CTL16,GRP3,IS_IN_GROUP
CTL16,TYP1,IS_OF_TYPE
CTL17,CAT2,IS_IN_CATEGORY
CTL17,GRP4,IS_IN_GROUP
CTL17,GRP5,IS_IN_GROUP
CTL17,GRP7,IS_IN_GROUP
CTL17,GRP8,IS_IN_GROUP
CTL17,GRP9,IS_IN_GROUP
CTL17,GRP10,IS_IN_GROUP
CTL17,TYP1,IS_OF_TYPE
CTL18,CAT2,IS_IN_CATEGORY
CTL18,GRP4,IS_IN_GROUP
CTL18,GRP5,IS_IN_GROUP
CTL18,GRP7,IS_IN_GROUP
CTL18,GRP8,IS_IN_GROUP
CTL18,GRP9,IS_IN_GROUP
CTL18,GRP10,IS_IN_GROUP
CTL18,TYP1,IS_OF_TYPE
CTL19,CAT2,IS_IN_CATEGORY
CTL19,GRP4,IS_IN_GROUP
CTL19,GRP5,IS_IN_GROUP
CTL19,GRP7,IS_IN_GROUP
CTL19,GRP8,IS_IN_GROUP
CTL19,GRP9,IS_IN_GROUP
CTL19,GRP10,IS_IN_GROUP
CTL19,TYP1,IS_OF_TYPE
CTL20,CAT2,IS_IN_CATEGORY
CTL20,GRP5,IS_IN_GROUP
CTL20,TYP2,IS_OF_TYPE
CTL21,CAT2,IS_IN_CATEGORY
CTL21,GRP5,IS_IN_GROUP
CTL21,TYP2,IS_OF_TYPE
CTL22,CAT2,IS_IN_CATEGORY
CTL22,GRP5,IS_IN_GROUP
CTL22,TYP3,IS_OF_TYPE
CTL23,CAT2,IS_IN_CATEGORY
CTL23,GRP5,IS_IN_GROUP
CTL23,TYP3,IS_OF_TYPE
CTL24,CAT2,IS_IN_CATEGORY
CTL24,GRP5,IS_IN_GROUP
CTL24,TYP3,IS_OF_TYPE
CTL25,CAT2,IS_IN_CATEGORY
CTL25,GRP5,IS_IN_GROUP
CTL25,TYP3,IS_OF_TYPE
CTL26,CAT2,IS_IN_CATEGORY
CTL26,GRP7,IS_IN_GROUP
CTL26,TYP4,IS_OF_TYPE
CTL27,CAT2,IS_IN_CATEGORY
CTL27,GRP8,IS_IN_GROUP
CTL27,TYP4,IS_OF_TYPE
CTL28,CAT2,IS_IN_CATEGORY
CTL28,GRP8,IS_IN_GROUP
